key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,35.781,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[6.575999999999993,6.917999999999992,7.286999999999992,7.763999999999996,8.325999999999993,8.843999999999994,9.373999999999995,9.920000000000002,10.423000000000002]",space,2.554,0.0,0.0,0.0,3.0,1.0,block_2/weak_t_119_2.wav,timbre,t,weak,119.0,2.180699762,12.4495433,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8840000000000146,1.7820000000000107,2.5690000000000026,3.355000000000004,4.101000000000013,4.905000000000015,5.6440000000000055,6.432000000000002,7.115000000000009,7.875,8.663000000000011,9.40100000000001,10.109000000000009,10.844000000000008,11.582000000000008,12.342000000000013,13.119000000000014,13.915000000000006,14.703000000000003,15.442000000000007]",space,1.335,0.0,1.0,1.0,0.0,1.0,block_1/strong_n_81_2.wav,no,n,strong,81.0,1.560205308,16.72288105,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.625,2.1839999999999975,2.7379999999999995,3.3289999999999935,4.088000000000022,4.734000000000009,5.333000000000027,6.201000000000022,6.708000000000027,7.26400000000001,7.796000000000021,8.198000000000008,8.617000000000019,9.007000000000005]",space,1.279,0.0,2.0,2.0,2.0,1.0,block_1/weak_n_119_1.wav,no,n,weak,119.0,1.75153664,11.06591306,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[3.5509999999999877,4.489999999999981,5.409999999999997,6.295999999999992,7.371999999999986,8.337999999999994,9.49199999999999,10.436999999999983,11.495000000000005,12.515999999999991,13.454999999999984]",space,1.298,0.0,3.0,3.0,1.0,1.0,block_2/none_t_119_1.wav,timbre,t,none,119.0,1.172164666,14.53370662,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_119_2.wav,no,n,strong,119.0,2.088876798,11.35100832,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,space,75.279,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.4000000000000057,1.945999999999998,2.397999999999996,2.8859999999999957,3.3499999999999943,3.836999999999989,4.307999999999993,4.768000000000001,5.251999999999981,5.716000000000008,6.198999999999984,6.658999999999992,7.055000000000007,7.579000000000008,8.091000000000008,8.538999999999987,9.031000000000006,9.462999999999994]",space,1.714,0.0,0.0,0.0,17.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_119_2.wav,no,n,weak,119.0,2.480463378,12.4427763,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.9819999999999993,2.5360000000000014,3.1599999999999966,3.680999999999983,4.298000000000002,5.043000000000006,5.561999999999983,6.003999999999991,6.4480000000000075,6.957999999999998,7.405000000000001,7.798000000000002,8.280000000000001,8.649000000000001,9.201000000000022,9.655999999999977,10.094999999999942]",space,1.887,0.0,1.0,1.0,36.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_92_1.wav,no,n,strong,92.0,1.355123487,13.84328675,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[2.2579999999999814,2.8239999999999554,3.453999999999951,4.067999999999984,4.663999999999987,5.3139999999999645,5.919999999999959,6.538999999999987,7.159999999999968,7.753999999999962,8.367999999999938,8.993999999999971,9.60899999999998,10.226999999999975,10.850999999999999,11.505999999999972,12.08099999999996,12.728999999999985]",space,5.921,0.0,2.0,2.0,37.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_72_1.wav,no,n,weak,72.0,1.347131367,16.2574715,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.2570000000000618,1.8690000000000282,2.5370000000000346,3.361000000000047,4.122000000000014,4.79200000000003,5.532000000000039,6.270000000000039,6.9640000000000555,7.774000000000115,8.484000000000037,9.262,10.00200000000001,10.763000000000034,11.53000000000003,12.255000000000052,12.932000000000016,13.65500000000003,14.356000000000051,15.126000000000033]",space,1.458,0.0,3.0,3.0,15.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_105_2.wav,no,n,none,105.0,1.949697166,16.59064955,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.4460000000000264,2.007000000000005,2.4190000000000396,2.993000000000052,4.006000000000029,4.748000000000047,5.468999999999994,6.388000000000034,7.215000000000032,8.063000000000045,8.875,9.934000000000026,10.779000000000053,11.659000000000049,12.450000000000045,13.508000000000038,14.42100000000005]",space,1.118,0.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_72_2.wav,no,n,none,72.0,1.052198767,23.70630308,,,,No,,0,No,F,66,L,Yes,1,2020-10-04_12h32.21.589,kura-A1,2020.1.2,MacIntel,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.988999999999976,3.4009999999999536,4.565999999999974,5.647999999999968,6.757000000000005,7.8629999999999995,8.906999999999982,10.130999999999972,11.286999999999978,12.439999999999998,13.730999999999995,14.858000000000004,16.067999999999984,17.201999999999998,18.38499999999999,19.45999999999998,20.784999999999968,21.934999999999945]",space,1.53,0.0,5.0,5.0,16.0,1.0,,,,,,,,,,,,,
