key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session ,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,12.09193,"[""space"",""space"",""space""]","[9.197724999976344,11.811449999979232,12.391309999977238]",space,0.20583,0.0,0.0,0.0,2.0,1.0,block_2/weak_n_105_4.wav,no,n,weak,105.0,1.982674472,12.75578105,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4118400000152178,0.8375949999899603,1.3040700000128709,1.8112400000100024,2.309124999999767,2.789924999990035,3.269670000008773,3.7571400000015274,4.282529999996768,4.80537000001641,5.283620000001974,5.753035000001546,6.222325000009732,6.712239999993471,7.180285000009462,7.638340000004973,8.181260000012117,8.718415000010282,9.253644999989774,9.742510000010952,10.254450000007637]",space,1.489505,0.0,1.0,1.0,3.0,1.0,block_1/medium_t_119_4.wav,timbre,t,medium,119.0,1.752316959,11.57313329,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.4859049999795388,1.8663050000031944,2.3340599999937695,2.660409999982221,2.9593750000058208,3.391414999990957,3.805434999987483,4.240250000002561,4.7010299999965355,5.131135000003269,5.619925000006333,6.085094999987632,6.549960000003921,6.97293499999796,7.436319999978878,7.895575000002282,8.34567499998957,8.800820000004023]",space,0.96619,0.0,2.0,2.0,1.0,1.0,block_2/medium_n_119_4.wav,no,n,medium,119.0,1.224634286,9.531709116,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5117949999985285,0.8211549999832641,1.1016799999924842,1.5613099999900442,2.6360850000055507,3.041639999981271,3.4931649999925867,3.950719999993453,4.734850000008009,5.2194650000019465,5.705339999985881,6.1207899999863,6.6313300000038,7.1868499999982305,7.785889999999199,8.281640000001062,8.731984999991255,9.185639999981504,9.632534999982454,10.101410000002943,10.642584999994142,11.118385000008857,11.627914999990026,12.158334999985527,13.128035000001546,13.646444999991218,14.14022999998997,14.558220000006258,15.058909999992466,15.488214999990305,15.89097499998752,16.343954999989364]",space,1.241135,0.0,3.0,3.0,0.0,1.0,block_2/none_n_92_3.wav,no,n,none,92.0,2.306164339,18.20620969,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_t_81_4.wav,timbre,t,strong,81.0,1.870008989,16.22765071,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,space,6.680215,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.8687449999852106,1.7889199999917764,2.542104999971343,3.3226099999737926,4.016049999976531,4.754579999978887,5.478224999998929,6.204334999987623,6.944049999990966,7.65447999999742,8.411694999987958,9.097599999979138,9.82546499997261,10.574404999992112,11.309709999972256,12.030879999976605,12.707244999997783,13.472524999990128,14.204034999973373,14.905069999978878,15.58179499997641]",space,0.16119,0.0,0.0,0.0,34.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_t_72_4.wav,timbre,t,strong,72.0,1.194355845,16.3115894,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.6879699999990407,1.509424999996554,2.301739999995334,3.0946750000002794,3.9181549999921117,4.712835000013001,5.481009999988601,6.252195000008214,7.044770000007702,7.812919999996666,8.610875000013039,9.448449999996228,10.224955000012415,10.987744999991264,11.773415000003297,12.552640000008978,13.340285000012955,14.155644999991637,14.908725000015693,15.696449999988545]",space,1.45036,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_t_81_4.wav,timbre,t,medium,81.0,1.136743646,13.9322992,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.7243200000084471,1.3700799999933224,2.130585000006249,2.823100000008708,3.4830350000120234,4.040100000012899,4.664935000007972,5.312984999996843,5.944229999993695,6.644014999998035,7.298624999995809,7.994185000017751,8.758254999993369,9.326094999996712,9.959499999997206,10.564710000006016,11.257685000018682,11.940419999998994,12.621199999994133]",space,1.034355,0.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_t_119_4.wav,timbre,t,none,119.0,1.977931805,11.04042614,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.4063050000113435,0.9173500000033528,1.7514350000128616,2.352359999989858,3.09885999999824,3.698529999994207,4.3700299999909475,5.060224999993807,5.873309999995399,7.028474999999162,8.129825000010896,8.9263149999897]",space,1.120265,0.0,3.0,3.0,27.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_81_4.wav,timbre,t,weak,81.0,2.31768599,15.5134683,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.41595999998389743,1.065039999986766,1.830904999980703,2.449829999997746,3.1016099999833386,3.782600000005914,4.3982449999894015,5.069449999980861,5.8441750000056345,6.410700000007637,7.033534999995027,7.695719999988796,8.376879999996163,9.059600000007777,9.726569999998901,10.473349999985658,11.200604999990901,11.886899999983143,12.50917499998468,13.170894999988377]",space,1.150265,0.0,4.0,4.0,0.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_92_3.wav,timbre,t,weak,92.0,1.190820523,16.55263458,,,,Yes,JBL E45BT,15 Years,No,f,25,Left,Yes,1,2020-09-21_10h01.20.704,kura-B2,2020.1.2,Win32,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.434320000000298,0.9176750000042375,1.7482899999886286,2.501124999980675,3.3076599999913014,4.039944999996806,4.901324999984354,5.745954999991227,6.577349999977741,7.444489999994403,8.1934299999848,8.987854999984847,9.760144999978365,10.525099999998929,11.325479999999516,12.064589999994496,12.894479999988107,13.65343499998562,14.413424999976996,15.10770500000217]",space,1.232325,0.0,5.0,5.0,38.0,1.0,,,,,,,,,,,,,
