key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,10.08807,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.201065000030212,1.9226999999955297,2.680240000016056,3.4846400000387803,4.202035000082105,4.981805000104941,5.682744999998249,6.440150000038557,7.244780000066385,8.008990000002086,8.72004000004381,9.50686000008136,10.240275000105612,10.99207999999635,11.761240000021644,12.512445000000298,13.282170000020415,14.033135000034235,14.796650000032969,15.56992000003811]",space,1.08799,0.0,0.0,0.0,0.0,1.0,block_1/strong_n_81_2.wav,no,n,strong,81.0,1.560205308,16.72288105,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.3047800000058487,1.0929649999598041,1.5786999999545515,2.0076000000117347,2.4852999999420717,3.0343400000128895,3.5834699999541044,4.164334999979474,4.657579999999143,5.102474999963306,5.523934999946505,6.0094249999383464,6.502429999993183,6.971395000000484,7.435814999975264,7.936665000044741,8.475059999967925,8.976204999955371,9.501554999966174,10.002714999951422,10.504474999965169]",space,0.635775,0.0,1.0,1.0,3.0,1.0,block_2/weak_t_119_2.wav,timbre,t,weak,119.0,2.180699762,12.4495433,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.25156999996397644,0.7195699999574572,1.180060000042431,1.624900000053458,2.2301600000355393,2.7071449999930337,3.2801050000125542,3.917424999992363,4.538775000022724,5.15960500005167,6.035894999979064,6.683790000039153,7.335444999975152,7.836729999980889,8.423934999969788,8.872124999994412,9.409760000067763,9.943599999998696,10.405204999959096,10.865615000016987,11.48679999995511,12.155440000002272,12.88863499998115,13.58914499997627]",space,0.6268,0.0,2.0,2.0,1.0,1.0,block_2/none_t_119_1.wav,timbre,t,none,119.0,1.172164666,14.53370662,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2683899999829009,1.0045449999161065,1.7934299999615178,2.3903599999612197,2.947399999946356,3.4886449999175966,3.9602650000015274,4.38746999995783,4.8164749999996275,5.280049999943003,5.754784999997355,6.22469999990426,6.7334599999012426,7.170515000005253,7.648444999940693,8.166194999939762,8.634489999967627,9.111269999993965]",space,0.78956,0.0,3.0,3.0,2.0,1.0,block_1/weak_n_119_1.wav,no,n,weak,119.0,1.75153664,11.06591306,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_72_1.wav,no,n,strong,72.0,1.207870441,16.92877747,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,space,6.527075,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.25574000005144626,0.9518900000257418,1.6728349999757484,2.472829999984242,3.2661999999545515,4.047230000025593,4.86109000002034,5.648924999986775,6.477545000030659,7.284295000019483,8.0711799999699,8.8544750000583,9.696009999956004,10.47695499996189,11.297009999980219,12.117775000049733,12.93129500001669,13.735660000005737,14.564465000061318,15.36089999997057,16.165804999996908]",space,0.802845,0.0,0.0,0.0,33.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_72_2.wav,no,n,none,72.0,1.052198767,23.70630308,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2579999999143183,1.0063999999547377,1.6110949999419972,2.1604649999644607,3.236754999961704,4.081245000008494,4.870289999991655,5.597854999941774,6.482829999993555,7.197004999965429,7.960059999953955,8.773334999918006,9.556744999950752,10.302569999941625,11.035969999968074,11.664669999969192,12.358034999924712,12.915694999974221,13.591544999973848,14.335650000022724,15.114324999973178,15.8138349999208,16.50742999999784,17.15157999994699,17.868309999932535,18.49719499994535,19.06375999993179,19.508369999937713,20.065934999962337,20.533904999960214,21.019314999924973,21.560714999912307,22.173564999946393,22.75572499993723]",space,0.5717,0.0,1.0,1.0,16.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_105_2.wav,no,n,weak,105.0,1.25756433,14.19910628,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.28900999994948506,0.9570349999703467,1.8658849999774247,2.4900699999416247,3.2439099999610335,4.087874999968335,4.662139999913052,5.266089999931864,5.766899999929592,6.268474999931641,6.834269999992102,7.60601999994833,8.315444999956526,8.975424999953248,9.700695000006817,10.265629999921657,10.799354999908246,11.371389999985695,12.04855999990832,12.686129999929108]",space,0.328935,0.0,2.0,2.0,26.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_92_2.wav,no,n,medium,92.0,1.321097132,12.85819464,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.25296999991405755,0.9785050000064075,1.5107650000136346,2.0836399999679998,2.697094999952242,3.3261799999745563,3.9104899999219924,4.552135000005364,5.117144999909215,5.674339999910444,6.286779999965802,6.924084999947809,7.513124999939464,8.166659999988042,8.795174999977462,9.400459999917075,10.052885000011884,10.697954999981448,11.302849999978207]",space,0.485795,0.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_81_2.wav,no,n,weak,81.0,1.567957537,13.4515403,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.23775500000920147,1.010109999915585,1.6472300000023097,2.28414000000339,2.8581799999810755,3.4536599999992177,4.0347299999557436,4.616059999912977,5.236685000010766,5.794859999907203,6.359074999927543,6.901324999984354,7.513474999926984,8.120899999979883,8.73926499998197,9.344159999978729,9.901450000004843,10.476664999965578,11.08762999996543,11.663635000004433]",space,0.541245,0.0,4.0,4.0,32.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_n_81_2.wav,no,n,none,81.0,1.043160571,20.19454379,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2612700000172481,0.9221749999560416,1.5110799999674782,2.0280100000090897,2.697595000034198,3.175195000017993,3.58742999995593,4.088409999967553,4.622319999965839,5.1631999999517575,5.720439999946393,6.2214149999199435,6.626404999988154,7.024139999994077,7.509229999966919,7.970424999948591,8.407164999982342,8.845229999977164,9.25848999992013,9.657834999961779,10.084694999968633,10.554554999922402,10.993675000034273,11.429340000031516,11.905754999956116,12.366819999995641,12.932374999974854,13.449829999939539,13.895290000014938,14.36418999999296,14.808744999929331,15.215224999934435,15.622134999954142,16.049759999965318,16.55038999998942,17.020019999938086,17.59363499993924,18.02994499995839,18.463344999938272,18.952120000030845]",space,0.58146,0.0,5.0,5.0,28.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_119_2.wav,no,n,weak,119.0,2.480463378,12.4427763,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.22045500006061047,0.8695099999895319,1.2710350000998005,1.6716749999905005,2.1062099999981,2.550355000072159,3.060080000082962,3.576655000098981,4.054280000040308,4.524335000081919,5.01597499998752,5.5172200000379235,6.0112600000575185,6.483450000057928,6.951435000053607,7.386510000098497,7.839879999984987,8.304470000090078,8.762235000031069,9.215640000067651,9.668485000031069,10.186190000036731]",space,0.4776,0.0,6.0,6.0,36.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_119_2.wav,no,n,medium,119.0,1.29591098,10.35291778,,,,Yes,SONY MDR-P180,30+,no,f,53,R,yes,1,2020-08-08_23h03.30.895,kura-A1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.24557499994989485,0.7786949999863282,1.3207199999596924,1.6762399999424815,2.090609999955632,2.615295000025071,2.980435000034049,3.386599999968894,3.727074999944307,4.03711499995552,4.418270000023767,4.86378999997396,5.280290000024252,5.765004999935627,6.2159499999834225,6.620434999931604,7.051609999965876,7.439185000024736,7.903655000030994,8.370824999990873,8.790550000034273,9.252459999988787]",space,0.518705,0.0,7.0,7.0,21.0,1.0,,,,,,,,,,,,,
