key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?'",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt,"If you are not an MTurk worker, please provide your email address"
space,6.64462,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.22066500002983958,0.6837400000076741,1.103940000059083,1.5717899999581277,2.072909999988042,2.574295000056736,3.0754749999614432,3.608254999970086,4.125570000032894,4.60332999995444,5.064239999977872,5.5736249999608845,6.082784999976866,6.560275000054389,7.0371199999935925,7.570184999960475,8.071209999965504,8.565575000015087,9.082004999974743,9.590839999960735,10.084494999959134]",space,0.91908,0.0,0.0,0.0,3.0,1.0,block_2/strong_t_119_4.wav,timbre,t,strong,119.0,2.380207574,12.24809873,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2895499999867752,0.8064500000327826,1.4880450000055134,2.2323249999899417,3.0244699999457225,3.9294750000117347,4.814310000045225,5.659800000023097,6.487285000039265,7.2850199999520555,8.065519999945536,8.925084999995306,9.724565000040457,10.610035000019707,11.466905000037514,12.224184999940917,13.124145000008866,13.93750999995973,14.79819999996107,15.638965000049211]",space,0.83124,0.0,1.0,1.0,2.0,1.0,block_1/weak_n_72_4.wav,no,n,weak,72.0,1.922330121,17.89675189,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.25389999989420176,0.9791399999521673,1.5542849999619648,2.1406449999194592,2.7069599999813363,3.271409999928437,3.8761299999896437,4.444894999964163,5.022649999940768,5.597879999899305,6.199945000000298,6.7732549998909235,7.36243499990087,7.903284999891184,8.47137499996461,9.073034999892116,9.624279999989085,10.227814999991097,10.832314999890514,11.413604999892414]",space,0.45805,0.0,2.0,2.0,0.0,1.0,block_1/medium_n_105_3.wav,no,n,medium,105.0,1.683245346,13.36533151,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2513549999566749,1.060440000030212,1.9445899999700487,2.4400649999734014,2.8759749999735504,3.344829999958165,3.8536199999507517,4.363359999959357,4.872485000058077,5.357685000053607,5.858505000011064,6.375944999977946,6.87672499998007,7.410034999949858,7.927185000036843,8.484330000006594,9.009085000026971,9.550520000047982,10.05176499998197]",space,0.438585,0.0,3.0,3.0,1.0,1.0,block_2/medium_t_119_4.wav,timbre,t,medium,119.0,2.073396767,11.89421309,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_119_4.wav,no,n,strong,119.0,1.980480326,12.048825,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,space,3.755125,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.38424000004306436,0.8855899999616668,1.2535850000567734,1.7123000000137836,2.2450699999462813,2.7461500000208616,3.2154099999461323,3.7255750000476837,4.243855000007898,4.766655000043102,5.263859999948181,5.75351499998942,6.248855000012554,6.7555799999972805,7.272785000037402,7.785885000019334,8.275550000020303,8.77601000003051,9.301959999953397,9.762914999970235,10.295629999949597]",space,0.5385,0.0,0.0,0.0,23.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_72_4.wav,no,n,strong,72.0,1.599228342,16.96784512,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.25245000002905726,0.8417050000280142,1.462775000021793,2.291609999956563,3.0412500000093132,3.837489999947138,4.6450000000186265,5.46371000004001,6.25082499999553,7.018064999952912,7.82054500002414,8.62491500005126,9.397604999947362,10.202874999959022,10.982839999953285,11.82007000001613,12.624779999954626,13.405045000021346,14.18593499995768,15.022965000011027,15.77238999994006]",space,0.385235,0.0,1.0,1.0,35.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_105_4.wav,no,n,weak,105.0,1.436012468,12.20911904,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2290400000056252,0.8192699999781325,1.4629499999573454,2.022224999964237,2.673560000024736,3.1981150000356138,3.726479999953881,4.288034999975935,4.829264999949373,5.31422499998007,5.871395000023767,6.366215000045486,6.8900099999736995,7.407280000043102,7.956424999982119,8.409239999949932,8.942754999967292,9.483980000019073,10.032834999961779,10.517980000004172,11.01926500000991]",space,0.426565,0.0,2.0,2.0,28.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/strong_n_119_3.wav,no,n,strong,119.0,1.213627968,10.9792062,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.5033500000135973,0.9030949999578297,1.2982949999859557,1.7591849999735132,2.2062000000150874,2.6822399999946356,3.166590000037104,3.667479999945499,4.160894999979064,4.64647999999579,5.155930000008084,5.632600000011735,6.134225000045262,6.611400000052527,7.097064999979921,7.5821999999461696,8.083020000020042,8.576215000008233,9.101849999977276,9.562380000017583,10.025694999960251]",space,0.61715,0.0,3.0,3.0,16.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/medium_n_92_3.wav,no,n,medium,92.0,1.602440637,13.28810957,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2468250000383705,0.7193350000306964,1.1868249999824911,1.7503149999538437,2.3627949999645352,2.8912400000263005,3.5007400000467896,4.138204999966547,4.760974999982864,5.38070500001777,6.033305000048131,6.617005000007339,7.210844999994151,7.847859999979846,8.437810000032187,9.04143500002101,9.6311299999943,10.25268999999389,10.83273999998346,11.421854999964125]",space,0.93346,0.0,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_n_119_3.wav,no,n,weak,119.0,2.459758036,10.81612992,,,yes,,30,no,f,53,R,yes,1,2020-08-08_23h32.56.541,kura-A2,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.22097999998368323,0.9377000000094995,1.326839999994263,1.703704999992624,2.12210999999661,2.5430349999805912,2.973615000024438,3.394040000042878,3.859375,4.220169999985956,4.678059999947436,5.078800000017509,5.508239999995567,5.9538249999750406,6.382005000021309,6.810429999954067,7.231529999990016,7.691325000021607,8.128284999984317,8.599234999972396]",space,0.370115,0.0,5.0,5.0,37.0,1.0,,,,,,,,,,,,,,
