key_resp.keys,key_resp.rt,practice_taps.keys,practice_taps.rt,keyresp.keys,keyresp.rt,practice_stims_loop.thisRepN,practice_stims_loop.thisTrialN,practice_stims_loop.thisN,practice_stims_loop.thisIndex,practice_stims_loop.ran,sndfile,type,tempo,cond,version,delay,dur,Participant Initials,"If you are a MTurk worker, what is your MTurk worker ID?","If you are not an MTurk worker, please provide your email address",Are you wearing headphones?,What are the headphone make and model?,"How many years of musical training, if any, do you have?",Do you have any hearing problems? Please describe,What is your sex (f/m/decline)?,What is your age?,What is your handedness (R/L/ambi)?,Are you currently in a secure and quiet room without a possible interruption?,session,date,expName,psychopyVersion,OS,frameRate,instructions_prompt.keys,instructions_prompt.rt,block1_taps.keys,block1_taps.rt,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp2.keys,key_resp2.rt,block2_taps.keys,block2_taps.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,11.140215,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.9462950000306591,1.8065200001001358,2.611530000111088,3.2746350000379607,4.020975000108592,4.785560000105761,5.546875,6.338820000062697,7.084040000103414,7.820655000046827,8.609170000068843,9.349980000057258,10.066580000100657,10.826155000017025,11.57990500004962,12.346695000072941,13.085805000038818,13.883420000085607,14.602255000034347,15.372065000003204]",space,0.789915,0.0,0.0,0.0,1.0,1.0,block_2/strong_n_81_1.wav,no,n,strong,81.0,1.854905178,16.81653783,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.45256000000517815,1.1039350000210106,1.6052850000560284,2.3120750000234693,3.086070000077598,3.754340000101365,4.479105000034906,5.230305000091903,5.872665000031702,6.477225000038743,7.106080000055954,7.815640000044368,8.53150500007905,9.144375000032596,9.749485000036657,10.434280000044964,11.071690000011586,11.756105000036769,12.384970000013709,13.085670000058599]",space,0.62681,0.0,1.0,1.0,2.0,1.0,block_1/weak_t_92_1.wav,timbre,t,weak,92.0,2.207238706,15.60342918,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2455799999879673,0.7707149999914691,1.9502649999922141,3.0825999999651685,4.095259999972768,5.029289999976754,6.118964999914169,6.97144999995362,8.063854999956675,9.16376499994658,10.144559999927878,11.204844999941997,12.232884999946691,13.245774999959394,14.268614999949932,15.35726999992039,16.441600000020117,17.41389500000514,18.445309999980964,19.515179999987595]",space,0.447535,0.0,2.0,2.0,3.0,1.0,block_2/weak_n_72_2.wav,no,n,weak,72.0,1.63372301,21.59472074,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,
,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.2612049999879673,0.9864749999251217,1.6552849999861792,2.3159250000026077,3.0003399999113753,3.5935249999165535,4.210949999978766,4.895809999899939,5.588819999946281,6.241624999907799,6.9426549999043345,7.610119999968447,8.271450000000186,8.955979999969713,9.641044999938458,10.278184999944642,10.867069999920204,11.496409999905154,12.096519999904558,12.898429999942891]",space,0.636635,0.0,3.0,3.0,0.0,1.0,block_1/medium_t_92_2.wav,timbre,t,medium,92.0,1.17246814,14.21682188,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,block_1/none_t_92_1.wav,timbre,t,none,92.0,2.134114385,14.96545225,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,space,5.92704,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.25552999996580184,0.8529550000093877,1.560414999956265,2.2776099999900907,2.9940450000576675,3.5758099999511614,4.116009999997914,4.681620000046678,5.263069999986328,5.835195000050589,6.384444999974221,6.968130000052042,7.506395000033081,8.04735000000801,8.612364999949932,9.189159999950789,9.711290000006557,10.26066000002902,10.880795000004582,11.501445000059903,12.11404500005301,12.655759999994189]",space,0.62174,0.0,0.0,0.0,15.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_72_1.wav,timbre,t,weak,72.0,1.20875322,18.28390061,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.25355500006116927,0.8578900001011789,1.4232550000306219,2.1640250000637025,2.94084500009194,3.7261799999978393,4.661790000041947,5.697610000032,6.483059999998659,7.191365000093356,8.04389000008814,8.992285000043921,9.824825000017881,10.66553500003647,11.549390000058338,12.49827500001993,13.335085000027902,14.084495000075549,14.84043500002008,15.588930000085384,16.40948000003118,17.47801000007894]",space,0.644225,0.0,1.0,1.0,29.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_105_2.wav,timbre,t,weak,105.0,2.298632362,16.24153486,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.34476500004529953,0.9196399999782443,1.6743400000268593,2.4946700000436977,3.1962400000775233,3.8960400000214577,4.628960000001825,5.337865000008605,6.23238499998115,6.979255000012927,7.769715000060387,8.412400000030175,9.105770000023767,9.791090000071563,10.459430000046268,11.168185000075027,11.836925000068732,12.505405000061728,13.111220000078902,13.740515000070445]",space,0.29419,0.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_81_1.wav,timbre,t,weak,81.0,1.734429931,16.79973605,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.22664499992970377,0.94344999990426,1.82215499994345,2.497029999969527,3.1094849999062717,3.786559999920428,4.62309499992989,5.431144999922253,6.282949999906123,7.0847699999576434,7.857709999894723,8.538194999913685,9.363194999983534,10.143354999949224,10.828024999937043,11.552849999978207,12.421524999896064,13.266839999938384,14.063779999967664,14.859994999947958]",space,0.311435,0.0,3.0,3.0,8.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_119_2.wav,timbre,t,weak,119.0,1.131621257,11.40046479,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.269704999984242,0.9218099999707192,1.55871000001207,2.038979999953881,2.561009999946691,3.0619299999671057,3.61125999991782,4.184279999928549,4.654029999976046,5.099054999998771,5.547399999923073,6.052784999948926,6.562829999951646,7.0519449999555945,7.540440000011586,8.057440000004135,8.567444999935105,9.092539999983273,9.67423499992583,10.214090000023134]",space,0.375785,0.0,4.0,4.0,13.0,1.0,,,,,,,,,,,,,
,,,,,,,,,,,block_1/weak_t_119_1.wav,timbre,t,weak,119.0,1.96015814,12.2695459,,,,yes,apple airpods,30,no,f,53,R,yes,1,2020-08-09_00h01.21.424,kura-B1,2020.1.2,Linux x86_64,60,,,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.22994499991182238,1.06945499998983,1.5912299999035895,2.028745000017807,2.6576849999837577,3.1032049999339506,3.5000099999597296,3.9219399999128655,4.334619999979623,4.747585000004619,5.137615000014193,5.583140000002459,6.031699999934062,6.520989999989979,6.917749999905936,7.345904999994673,7.777124999905936,8.198749999981374,8.579029999906197,8.992774999933317,9.430010000010952,9.835755000007339,10.312249999959022]",space,0.29197,0.0,5.0,5.0,12.0,1.0,,,,,,,,,,,,,
